Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
French Guiana,822533,603395,980504,717271,286399,702110,483759,701707,353826,275796,3862,2004396,307784,331125,1245898
French Polynesia,125682037,174120864,173188102,153844368,167374856,158312487,170395198,198064336,184033951,186763156,230750828,188836318,176487723,182451493,178137658
Gabon,214253,714698,1041710,457163,779339,261310,1229576,4304751,2419555,2055427,3015429,4939999,2185480,2607986,4351284
Gambia,0,37338,338206,1081659,960330,694678,935656,682412,586062,1559384,327944,1502444,226561,141939,589307
Gaza Strip/Palestine/West Bank,32081,325868,478020,0,0,0,0,0,0,0,0,0,0,0,109483
Georgia,622856,1855576,2634177,6849829,16800044,4381914,11910458,15467974,25428870,12249945,22203454,16795394,18232577,29498685,14425936
Germany,690795174,838737221,908948375,745932262,727265873,789036409,881563518,754044004,894945482,765415372,658193800,775008883,738742052,736553544,661447610
Ghana,4669026,6741028,4035906,8636419,7824745,9416517,38763821,46084456,78833938,37236279,60074212,88912597,51990131,60124310,33904257
Gibraltar,756154,514175,430398,238615,435719,626464,691468,1001269,1212279,3889306,1227519,1159075,871658,1438699,926679
Greece,68255754,73074598,66615759,64155268,62290123,74123113,63913093,60302957,62271537,80438825,58184053,72223985,44011063,46424617,37589238
Greenland,139590,452491,152529,16990,78622,198596,103700,9396,437703,204389,242308,0,5049,0,4712
Grenada,2961020,3791009,4364797,2758664,2652004,2746312,2633082,2764191,3901361,2711128,3289764,3345185,2954818,2894519,3521287
Guadeloupe,6333136,5679939,7821049,7352765,6214764,5707409,6215460,6725050,8638345,7712247,6832948,8269472,4834907,6095634,7656886
Guam,11737170,12189999,10967330,7553109,9161186,8742581,9113608,10134907,10923872,9332907,9147893,11576990,6589682,8127089,6673842
Guatemala,3553718,27480269,35421022,29609776,27840380,30847589,35922378,33653629,23314782,23633871,19290528,20677958,20131387,22102532,25236849
Guinea,66893,8477,302721,1164286,897210,53942,664975,570943,221535,966412,1336739,928931,1712564,1253123,2438545
Guinea-Bissau,0,0,0,0,0,0,155209,0,0,0,0,0,0,0,58897
Guyana,7613420,8559256,8849044,6886109,6929998,7182573,8500830,9391307,15344538,8407875,11727695,15186618,21508309,19457650,18667208
Haiti,359045,576179,697174,326918,838840,1772943,506678,309728,1391554,1000776,514481,1739544,823300,195866,376715
Honduras,1269496,1338315,1746573,1949669,978636,654696,3072040,817516,3333410,11389170,2104333,5399035,838392,882468,1241705
Hong Kong (Special Administrative Region),790870802,786336600,629014876,559079120,560380347,523605905,560263558,583969456,700125027,793919806,865721078,798025115,869457131,769738425,736247894
Hungary,2176850,2608618,2157495,4385427,4737968,1711808,2066665,2661309,4986002,12789552,12993888,8531132,4911522,4966973,2212666
Iceland,983628,533424,1479442,887763,1236603,1317614,2771754,3112677,3811628,779930,736631,1156128,1054594,1306867,1165917
India,174776022,165060735,192292469,157106606,196067124,235274383,337343931,366253061,543759546,629660178,900655270,938075680,785925683,668614878,617699521
Indonesia,495381357,550501070,456104679,383170830,410734715,464739118,613196555,777119188,1005820520,963384367,930405782,855876482,838465643,885593717,930954975
Iran,123368658,65649382,100634369,107885560,97227101,77527680,122097178,142036526,234675881,212124409,257885399,257029684,262955787,173246061,162819598
Iraq,0,0,1063711,6924,241513,954062,98705,283260,6494267,1635292,2215020,5155856,7199566,4472367,4421399
Ireland,26501860,32919863,26649805,31075324,71495597,35329749,47477101,62371450,61796330,52209961,47499641,45987402,49148828,57416596,53534346
Israel,10733220,12599250,13797021,10017120,55916200,16390608,13811502,18112199,52022397,25559667,30752635,16243433,14341388,20022397,25612060
Italy,490128465,548521530,466053305,444227773,439445203,446265680,513165388,462014872,470558279,403918592,436955218,459108437,361300165,391581342,415867272
Jamaica,36367761,43517591,28681671,19480091,25920719,31008190,32677212,42974403,43538065,35125499,43078156,42131003,35224146,32505570,32487878
Japan,3951817314,4083373973,3569165624,3123054305,3442700726,3260338375,3556384168,3363932823,3613492952,2821281844,3375126080,3440527825,3210796355,2829151413,2938391848
Jordan,29590596,29147219,67632532,63442642,24977390,70093909,67188825,26787914,46153546,72836134,64950538,66991456,92467045,56523864,90559635
Kazakhstan,1250,170063,8047815,68605,2491047,2494292,5321198,672916,711255,928167,945877,2547398,1886524,1449626,1205382
Kenya,2331447,3032128,3272239,3407164,3233188,3940800,6038089,7725031,9316007,12666138,17365582,8794021,10924800,9480128,6229366
Kiribati,4565359,3415294,6777571,7058359,5826807,6839801,5476253,6261947,3717030,6538956,5018630,6182746,7381795,7438494,8791937
Korea Republic of,1315106547,1440242842,1376355955,993174773,1165366529,1081419168,1357929628,1328477545,1358234711,1240265764,1413672780,1674903872,1554834851,1632827326,1762904289
Kuwait,34516400,44387880,41898714,49102242,34102144,54460378,70835691,95988180,90604706,67545235,88237080,97433006,73492866,73358894,73526212
Kyrgyzstan,14771,32642,0,92669,7038,16238,11129,162660,6434,264475,26211,35616,184168,27827,308970
Laos,1765505,1356874,276270,421873,1164447,230728,545754,755940,733809,3907006,1118905,3247751,972185,1241820,1623423
Latvia,56391044,56104309,51987243,5141105,3785459,2393049,4130003,4409003,5403012,2208227,4369934,6878350,7093191,8001916,11212332
Lebanon,5615014,8266218,6343622,8091496,9916228,10334821,8468573,6603665,9040468,11183414,9587497,12670969,9812922,11766938,13570886
Lesotho,0,93140,12006,13154,8242,12863,18413,31010,0,0,9430,0,0,2489,0
Liberia,0,0,0,27478,484929,852255,1278375,427026,903541,1005517,649869,1175566,553614,157005,600747
Libya,866149,2063557,810849,2947895,3994767,2934901,7878747,7007821,28320909,25616504,51299005,15513042,65723564,73835272,73889968
Liechtenstein,6000,53063,0,9000,0,0,1990,0,4250,0,0,0,0,0,1571
Lithuania,446817,6113420,4866612,8648963,7404658,7460073,11499960,8858561,11339876,8222768,11788285,13945578,14064143,15756179,17029787
Luxembourg,1246745,407690,422881,339889,381102,251040,190425,917726,592103,1414521,1044170,801919,514286,1078607,646637
Macau (Special Administrative Region),2041283,7001482,10992818,6135085,2735076,4014945,4580347,4745056,3612047,8378631,6230995,5251480,7882221,5357414,6267818
Madagascar,1336672,5374248,718492,1278011,2379541,2862763,2742924,185712,111511432,3920662,318873,696312,375177,545655,838763
Malawi,8953,81034,41229,168554,86188,354197,170391,37201,47112,206365,347298,225199,243274,311188,70945
Malaysia,598334654,697897657,592702954,545471295,522560042,468196549,497225515,650652001,948948677,705061015,775589428,874717817,887581016,911426084,986200891
Maldives,12543828,7787351,5505003,4194098,14127524,5897487,19886157,16907011,20956257,9972828,15575011,9006752,9687427,15802451,20749266
Mali,5786,3137,10621,25498,23233,19527,914303,21212,38390,3160754,3879752,8885616,6000751,6160711,7595171
Malta,9147499,12507412,12940201,12976282,9376977,7070319,11753449,8815789,16570315,9970591,7682107,7077095,4726475,7576829,5362810
Marshall Islands,2131558,1064980,1435920,1512282,2441941,4956424,5092472,4665808,3104269,4291531,4647529,99337889,2869757,3732112,2537177
Martinique,4049116,3677790,6864843,5046243,5490788,5514683,5923984,4723791,5905374,6295453,6081197,4928870,4270851,4215264,4899594
Mauritania,0,0,1007307,2894452,646737,825859,599460,319539,412312,456379,220612,3648250,701184,386496,237566
Mauritius,21941542,27937392,23989175,31145649,29418612,35349337,35511817,48626880,66767208,45197605,59444269,80543770,78252300,73177482,79123817
Mayotte,0,0,8555,1309,0,80455,174255,1081908,1637613,1750995,1569302,755442,939331,936950,1168180
Mexico,320204454,535901909,466236738,411388056,394327024,437422218,423715566,599830231,431625111,374697188,363475943,414839750,280925361,297799530,282959066
Moldova,81047,0,19900,0,199290,1459835,3034057,3568996,1032808,180443,6720526,93869,149602,569890,817945
Monaco,0,345381,1238,53023,11114,188667,8296,220671,46838,5524,17755,21533,13045,7476,60959
Mongolia,1313582,181313,233498,475148,1133722,2057721,1617150,1822631,1551480,3914676,14505722,20820363,17677495,18551507,20029665
Montenegro,0,0,0,0,0,0,0,0,122120,351723,5152,0,41981,72627,9895
Montserrat,0,0,0,0,1073,0,0,0,0,0,0,0,12558,0,0
Morocco,25166019,26428767,23987041,16135043,14610489,27583295,45239437,32029038,57028032,52536893,73891134,81631312,56671093,64958163,75831044
Mozambique,616239,881147,170580,822047,799837,849222,4036790,4729985,7929957,4776090,6406370,5208346,6634017,9298361,12250286
Myanmar,11326191,17008049,16879086,6523412,5663597,2656565,4403082,4775622,8223176,9335474,16271487,19980772,20265650,19995804,25564804
Namibia,8530,125429,223503,83718,305108,29155,506777,562546,1583568,2652398,2965042,2832998,2393261,460782,1139692
Nauru,239092,2292394,189593,168947,477673,215259,74805,167488,89462,155672,708667,513594,1389992,2380434,1105938
Nepal,42535301,28542636,26092735,26280619,8907147,11190128,14883927,9332780,9350769,17917109,11897994,13121299,7475547,6344451,11666604
Netherlands,158219949,215664868,273978091,252678998,293360033,333166424,435373695,401075842,509074936,480030655,493786598,625330938,570407826,606083542,847635114
Netherlands Antilles,948193,1638772,1552866,1211863,781070,1173278,2713562,2285492,3674295,1675418,2386291,3553497,3042402,396691,0
New Caledonia,83550760,91548858,89914199,96722383,120761703,122340338,134325754,162938310,184753923,177660195,173521657,187337155,177067084,169892060,149383234
